latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-24.23008,149.42728,372.63,2.11,1.41,2023-09-09,0016,T,100,6.1NRT,302.3,361.28,D
-24.23223,149.44804,324.44,2.12,1.41,2023-09-09,0016,T,79,6.1NRT,297.05,55.3,D
-24.2406,149.40562,342.98,2.1,1.41,2023-09-09,0016,T,92,6.1NRT,300.9,126.15,D
-24.24273,149.42598,384.17,2.11,1.41,2023-09-09,0016,T,100,6.1NRT,305.77,491.12,D
-24.24488,149.44667,341.21,2.12,1.41,2023-09-09,0016,T,91,6.1NRT,299.46,117.7,D
-24.25536,149.42459,332.96,2.11,1.41,2023-09-09,0016,T,86,6.1NRT,300.72,75.13,D
-24.25753,149.44521,326.59,2.12,1.41,2023-09-09,0016,T,69,6.1NRT,300.47,52.13,D
-24.23072,149.42058,373.68,2.11,1.41,2023-09-09,0016,T,100,6.1NRT,303.02,365.78,D
-24.23272,149.44139,332.91,2.12,1.41,2023-09-09,0016,T,76,6.1NRT,298.58,77.48,D
-24.24336,149.41936,369.36,2.11,1.41,2023-09-09,0016,T,100,6.1NRT,304.38,317.19,D
-24.24537,149.43999,358.43,2.12,1.41,2023-09-09,0016,T,99,6.1NRT,302.21,222.37,D
-24.25599,149.41801,315.83,2.11,1.41,2023-09-09,0016,T,36,6.1NRT,299.89,22.16,D
-24.25801,149.43849,330.05,2.12,1.41,2023-09-09,0016,T,84,6.1NRT,300.83,68.05,D
-24.2625,149.35515,323.5,2.09,1.41,2023-09-09,0018,T,78,6.1NRT,299.34,47.14,D
-24.26454,149.3756,385.92,2.09,1.41,2023-09-09,0018,T,100,6.1NRT,303.49,511.22,D
-24.26918,149.05177,330.14,1.98,1.37,2023-09-09,0018,T,84,6.1NRT,296.93,70.07,D
-24.27118,149.07089,308.03,1.99,1.38,2023-09-09,0018,T,12,6.1NRT,295.27,12.77,D
-24.36035,149.8154,320.01,2.26,1.46,2023-09-09,0018,T,75,6.1NRT,298.54,41.86,D
-24.35845,149.81001,315.24,2.26,1.46,2023-09-09,0018,T,43,6.1NRT,298.09,25.08,D
-24.37147,149.80853,313.5,2.26,1.46,2023-09-09,0018,T,21,6.1NRT,297.5,19.81,D
-24.63737,148.34677,317.09,1.79,1.31,2023-09-09,0018,T,36,6.1NRT,298.13,23.25,D
-24.66075,148.34357,348.35,1.79,1.31,2023-09-09,0018,T,95,6.1NRT,300.45,124.56,D
-24.67435,148.35928,327.89,1.79,1.31,2023-09-09,0018,T,56,6.1NRT,299.59,47.01,D
-24.66961,148.35347,329.95,1.79,1.31,2023-09-09,0018,T,59,6.1NRT,299.83,53.13,D
-25.02293,151.39992,309.01,3.02,1.65,2023-09-09,0018,T,58,6.1NRT,295.92,30.51,D
-24.77187,147.19449,312.18,1.5,1.21,2023-09-09,0018,T,57,6.1NRT,297.43,12.17,D
-24.80423,147.19016,321.77,1.5,1.21,2023-09-09,0018,T,78,6.1NRT,298.61,24.97,D
-24.80594,147.2049,314.7,1.5,1.21,2023-09-09,0018,T,44,6.1NRT,297.86,13.28,D
-24.82014,147.23259,312,1.51,1.21,2023-09-09,0018,T,39,6.1NRT,298.15,10.49,D
-24.81716,147.11414,327.71,1.48,1.2,2023-09-09,0018,T,56,6.1NRT,297.23,37.83,D
-24.81888,147.12865,325.33,1.48,1.2,2023-09-09,0018,T,51,6.1NRT,297.55,31.62,D
-24.82283,147.22626,318.7,1.51,1.21,2023-09-09,0018,T,28,6.1NRT,298.29,18.27,D
-24.82221,147.1223,328.86,1.48,1.2,2023-09-09,0018,T,81,6.1NRT,298.15,40.71,D
-24.82384,147.1369,319.85,1.49,1.2,2023-09-09,0018,T,44,6.1NRT,297.97,21.21,D
-24.84611,147.23801,314.16,1.51,1.21,2023-09-09,0018,T,59,6.1NRT,297.93,15.02,D
-24.84776,147.25276,311.1,1.51,1.21,2023-09-09,0018,T,56,6.1NRT,297.28,11.4,D
-24.8917,147.15701,336.57,1.49,1.21,2023-09-09,0018,T,32,6.1NRT,298.75,51.69,D
-24.90248,147.15556,350.51,1.49,1.21,2023-09-09,0018,T,74,6.1NRT,299.16,95.68,D
-25.18477,147.92741,316.24,1.7,1.28,2023-09-09,0018,T,48,6.1NRT,296.76,23.92,D
-25.19375,147.91946,323.92,1.7,1.28,2023-09-09,0018,T,80,6.1NRT,297.11,41.63,D
-25.19554,147.93637,310.16,1.7,1.28,2023-09-09,0018,T,62,6.1NRT,296.03,15.56,D
-26.14151,148.05382,309.34,1.79,1.31,2023-09-09,0018,T,59,6.1NRT,295.52,13.12,D
-27.55696,150.98668,323.02,3.02,1.65,2023-09-09,0018,T,67,6.1NRT,293.36,82.12,D
-27.59374,151.06952,338.37,3.06,1.66,2023-09-09,0018,T,69,6.1NRT,291.3,171.1,D
-27.59616,151.10037,339.36,3.08,1.67,2023-09-09,0018,T,77,6.1NRT,293.34,187.97,D
-27.60865,151.06815,321.27,3.06,1.66,2023-09-09,0018,T,42,6.1NRT,290.42,66.21,D
-27.62356,151.06673,353.81,3.06,1.66,2023-09-09,0018,T,97,6.1NRT,294.39,324.44,D
-27.63846,151.06528,342.41,3.06,1.66,2023-09-09,0018,T,74,6.1NRT,295.16,213.06,D
-27.64835,151.00339,310.56,3.03,1.66,2023-09-09,0018,T,21,6.1NRT,292.69,37.2,D
-27.62292,151.06029,344,3.06,1.66,2023-09-09,0018,T,68,6.1NRT,293.44,217.3,D
